Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
12-4,96,423,18,220,183,616,82,156_29_39,36_34_16,20,[5_44] (1_1),20,[14_44] (1_1),3199,[2740_5340],3196,[2740_5340],156,20,[7_21] (1_110),346,47.99,56.74,822,798
13-1,84,290,20,289,287,11,42,155_90_45,3_2_0,13,[9_24] (3_1),13,[9_24] (3_1),3814,[3360_4100],3814,[3360_4100],81,20,[20_20] (1_1),110,0.34,1.03,29,29
13-2,102,327,18,184,135,414,2,139_26_23,45_46_31,19,[0_36] (1_1),19,[14_34] (1_1),3325,[2830_4140],3314,[2830_4075],132,20,[13_31] (1_1),204,43.73,58.72,1095,941
13-3,92,292,18,164,134,336,0,79_56_30,26_29_14,19,[14_44] (3_1),19,[14_44] (2_1),3300,[2880_4795],3305,[2880_4795],191,20,[18_26] (32_3),225,43.84,54.11,655,610
13-4,80,295,23,183,158,216,23,134_16_30,22_15_22,22,[16_33] (2_1),22,[17_31] (2_1),3837,[3100_4590],3840,[3100_4430],120,24,[4_26] (1_59),332,37.97,46.44,458,399
14-1,74,147,15,117,112,302,37,15_48_53,49_0_8,16,[3_33] (1_1),16,[8_33] (1_1),4250,[3450_5635],4227,[3450_5520],137,18,[15_23] (4_1),163,20.41,23.81,449,449
14-2,76,251,15,146,117,352,20,121_25_26,72_32_21,17,[10_28] (3_3),17,[10_28] (2_3),5689,[4940_6955],5679,[4940_6780],143,17,[11_28] (2_1),211,41.83,53.39,824,796
14-3,74,209,20,144,114,342,15,89_47_30,57_30_14,21,[11_37] (1_1),22,[14_37] (3_1),4095,[3345_5205],4106,[3345_5205],152,22,[20_25] (14_1),194,31.10,45.45,713,698
14-4,72,181,28,123,98,368,127,116_20_28,35_30_8,30,[22_56] (3_1),30,[22_56] (3_1),5871,[4800_7350],5815,[4800_7350],154,31,[27_36] (2_2),207,32.04,45.86,683,640
15-1,66,146,18,74,9,140,4,51_11_0,30_53_66,18,[10_28] (2_1),18,[15_21] (1_1),3487,[3030_4185],3363,[3030_3655],139,18,[18_23] (68_3),126,49.32,93.84,1116,1074
15-2,66,117,20,62,49,415,6,58_7_8,64_9_11,26,[18_45] (1_1),27,[19_45] (1_1),5176,[4050_7005],5137,[4050_7005],188,21,[20_35] (48_1),238,47.01,58.12,1110,1004
15-3,66,134,22,93,52,165,216,1_0_0,70_32_58,21,[0_45] (3_1),22,[16_39] (1_1),3896,[3375_4800],3808,[3520_4620],124,22,[22_27] (40_1),146,30.60,61.19,1291,1262
15-4,47,96,18,22,6,0,0,0,0_0_21,14,[5_17] (1_11),17,[17_17] (6_6),1902,[1700_2500],1701,[1700_1705],191,18,[0_48] (1_1),279,77.08,93.75,363,172
