Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
54,559,998,17,603,592,125,329,247_156_84,17_7_9,15,[10_22] (3_3),15,[10_22] (3_3),3663,[2405_4730],3661,[2405_4730],82,17,[0_22] (1_1),91,39.58,40.68,485,433
55,577,2380,17,558,451,375,77,740_107_170,94_42_97,16,[10_27] (3_1),16,[10_27] (2_1),3557,[2915_4820],3540,[2915_4820],121,17,[0_22] (3_5),128,76.55,81.05,2632,2279
56,539,745,20,562,550,45,91,298_170_74,29_8_10,16,[9_32] (1_1),16,[9_29] (1_1),3168,[1750_4625],3162,[1750_4500],105,20,[2_20] (1_180),127,24.56,26.17,392,382
57,548,1008,20,583,563,65,25,487_298_156,27_13_26,17,[6_26] (1_1),17,[10_24] (5_2),4388,[3200_6555],4388,[3200_5715],121,20,[2_30] (1_1),140,42.16,44.15,869,566
58,553,830,25,561,531,55,51,625_215_98,37_14_22,21,[0_31] (1_1),21,[10_31] (2_1),4424,[2975_8475],4418,[2975_6625],144,25,[13_30] (1_2),158,32.41,36.02,604,559
59,545,1167,15,552,501,185,49,310_168_100,47_12_45,14,[0_25] (1_1),14,[6_25] (1_1),3170,[2400_5850],3161,[2400_4600],82,15,[1_20] (1_2),87,52.70,57.07,1101,1036
60,649,5360,20,523,401,710,94,754_183_155,157_56_106,20,[10_38] (1_1),20,[12_36] (1_1),4343,[3055_6215],4312,[3055_5830],159,20,[0_25] (3_27),153,90.24,92.52,4933,3640
61,512,583,15,577,571,0,1,18_14_3,2_1_5,6,[1_15] (2_2),6,[5_15] (235_2),4547,[2555_5250],4544,[2555_4800],43,14,[7_25] (2_1),130,1.03,2.06,119,57
62,528,709,20,545,529,60,32,248_140_65,10_9_11,13,[0_25] (1_2),13,[6_25] (1_1),5349,[3305_6750],5351,[3305_6405],75,20,[0_25] (1_2),98,23.13,25.39,342,309
63,522,704,15,591,581,70,302,314_144_72,20_9_8,12,[1_20] (1_2),12,[7_20] (8_2),3146,[1325_5275],3140,[1325_4325],79,15,[1_15] (1_108),91,16.05,17.47,385,353
