Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
497,32,186,20,28,24,20,2,8_20_10,13_2_6,19,[0_23] (1_4),20,[16_23] (1_3),4525,[3955_8000],4361,[3955_5110],116,20,[18_25] (4_1),112,84.95,87.10,180,164
498,28,51,20,28,26,10,13,20_19_8,10_2_0,18,[14_23] (1_1),18,[14_23] (1_1),5898,[5085_7090],5825,[5085_6530],117,20,[20_20] (23_23),119,45.10,49.02,92,82
499,33,398,20,29,21,70,27,20_16_9,25_6_4,22,[17_30] (1_1),22,[18_30] (2_1),4245,[3420_5685],4196,[3420_5240],142,20,[9_25] (1_3),118,92.71,94.72,422,335
500,29,100,20,27,22,20,2,19_11_15,15_2_3,19,[14_27] (1_1),19,[14_25] (1_1),5669,[4510_7465],5528,[4510_6420],120,20,[11_25] (1_1),111,73.00,78.00,171,149
501,27,31,20,27,25,5,2,19_15_9,2_0_2,17,[11_22] (1_1),17,[11_21] (1_1),4840,[4185_5970],4848,[4185_5970],109,20,[20_20] (4_4),113,12.90,19.35,35,35
502,28,39,20,28,25,10,29,28_20_9,7_3_1,16,[8_23] (1_2),16,[8_23] (1_2),6147,[4685_7650],6200,[4685_7650],129,20,[17_20] (1_10),148,28.21,35.90,81,81
503,27,38,20,27,27,20,28,24_7_4,5_0_0,19,[13_27] (2_1),19,[13_27] (2_1),5579,[4365_6930],5579,[4365_6930],140,20,[20_20] (11_11),137,28.95,28.95,71,71
504,28,194,20,28,21,25,7,18_9_6,18_3_6,20,[14_27] (1_1),20,[14_27] (1_1),4593,[3355_6270],4302,[3355_5305],119,20,[6_20] (1_161),105,85.57,89.18,216,206
505,29,125,20,29,20,20,8,20_14_5,21_8_6,20,[13_29] (1_1),20,[13_23] (1_1),5172,[4190_6735],5035,[4190_6260],139,20,[20_20] (96_96),117,76.80,84.00,269,254
506,29,170,20,26,22,40,5,17_12_12,14_2_2,21,[15_30] (1_1),21,[15_28] (1_1),3911,[2625_4940],3922,[2625_4940],123,20,[12_25] (1_3),105,84.71,87.06,214,182
507,28,82,20,27,27,45,16,29_11_9,7_0_0,19,[8_30] (1_1),19,[8_30] (1_1),5457,[4675_7510],5457,[4675_7510],141,20,[20_25] (53_2),155,67.07,67.07,169,136
508,35,381,20,28,15,50,3,17_12_21,11_10_8,21,[16_33] (1_1),22,[18_33] (1_1),4136,[3505_5170],4149,[3755_5000],138,20,[5_25] (1_1),110,92.65,96.06,348,308
509,34,418,20,26,12,85,16,26_19_16,22_5_12,23,[16_35] (1_1),24,[20_31] (5_2),6490,[5510_7160],6363,[5510_6810],166,20,[2_25] (1_4),131,93.78,97.13,540,464
510,37,902,22,21,9,90,1,36_8_0,18_7_11,26,[18_34] (1_1),29,[25_34] (2_1),4214,[3600_5350],4439,[4000_5350],163,22,[2_27] (1_4),105,97.67,99.00,639,440
511,20,20,15,20,20,0,0,0,0,4,[4_4] (20_20),4,[4_4] (20_20),3800,[3800_3800],3800,[3800_3800],34,,,,,,0,0
512,20,26,15,20,17,10,1,2_15_3,2_4_0,12,[8_17] (1_1),12,[9_17] (5_1),2922,[2100_3600],2875,[2100_3600],85,14,[13_15] (2_4),94,23.08,34.62,55,55
513,20,135,14,18,12,65,3,10_8_4,19_5_2,17,[12_33] (1_1),17,[14_23] (3_1),3094,[2400_4550],2907,[2400_3905],118,14,[4_19] (1_5),76,86.67,91.11,388,323
514,19,55,17,18,16,35,9,2_12_4,14_2_2,18,[14_29] (1_1),18,[14_23] (1_1),2121,[1550_3140],2046,[1550_2800],132,16,[0_22] (1_1),96,67.27,70.91,194,173
515,18,39,20,18,14,25,6,6_12_5,14_5_1,20,[15_24] (1_2),20,[15_24] (1_1),4411,[3645_5355],4341,[3645_5140],131,20,[14_20] (1_19),103,53.85,64.10,157,157
516,19,40,16,19,16,10,1,10_3_6,5_1_2,15,[10_18] (1_2),15,[10_18] (1_2),3922,[3255_4610],3870,[3255_4610],113,15,[5_16] (1_16),94,52.50,60.00,66,66
517,19,36,20,19,18,25,5,6_14_12,10_0_1,20,[11_28] (1_1),20,[11_28] (1_1),4351,[3745_5710],4309,[3745_5710],133,19,[1_20] (1_14),108,47.22,50.00,103,103
518,23,151,20,23,17,40,19,5_16_11,11_7_6,21,[15_27] (2_1),21,[15_27] (1_1),3792,[3200_4505],3719,[3200_4505],170,20,[6_30] (1_1),123,84.77,88.74,358,233
519,24,164,20,22,13,15,2,12_6_3,10_5_10,19,[9_25] (1_2),20,[16_25] (1_1),4071,[3450_5850],3754,[3450_4300],130,19,[1_25] (3_2),121,86.59,92.07,249,194
520,26,95,20,25,18,10,6,19_7_9,12_2_6,19,[12_24] (1_1),19,[12_23] (1_1),4201,[3660_5285],4165,[3660_5285],128,18,[2_20] (1_56),106,73.68,81.05,150,140
521,24,49,18,24,23,10,1,4_9_3,11_0_3,16,[9_22] (1_1),16,[9_22] (1_1),2652,[1725_4050],2659,[1725_4050],123,18,[18_18] (25_25),145,51.02,53.06,98,98
522,24,89,15,24,16,10,35,5_8_10,11_9_9,13,[8_18] (2_1),13,[8_16] (1_1),4372,[3570_5840],4291,[3570_5055],129,14,[7_20] (1_1),118,73.03,82.02,232,206
523,25,235,20,20,14,85,6,6_15_13,11_4_4,23,[16_34] (1_1),23,[16_34] (1_1),3696,[2830_5405],3551,[2830_4440],149,20,[3_25] (1_2),106,91.49,94.04,405,347
524,21,33,15,20,18,10,0,3_12_4,3_2_0,14,[11_20] (1_1),14,[11_19] (1_1),3655,[3300_4155],3636,[3300_4155],84,14,[9_15] (1_11),83,39.39,45.45,67,47
525,25,443,16,22,10,65,1,21_4_0,9_10_17,16,[4_43] (1_1),18,[15_22] (1_3),3536,[2400_5365],3144,[2400_4300],122,16,[0_21] (1_3),89,95.03,97.74,555,470
526,22,70,23,22,16,5,0,5_16_14,6_7_11,19,[1_24] (1_2),20,[15_24] (1_2),4656,[3415_8150],4461,[3655_5505],151,22,[8_28] (1_2),156,68.57,77.14,254,178
527,22,48,20,22,21,20,3,11_12_13,8_2_0,19,[12_33] (1_1),19,[12_26] (1_1),4290,[3510_5365],4249,[3510_5365],134,20,[20_20] (26_26),126,54.17,56.25,109,109
528,23,104,19,22,18,20,16,33_5_4,12_8_4,19,[15_29] (1_1),19,[15_29] (1_1),3880,[2825_4910],3869,[2825_4910],123,19,[19_19] (82_82),107,78.85,82.69,206,193
529,25,141,20,24,19,40,8,11_20_14,6_8_7,20,[15_49] (2_1),21,[17_49] (3_1),4782,[4220_6880],4695,[4220_6880],145,20,[7_25] (1_1),130,82.98,86.52,332,303
530,24,63,20,24,21,25,7,8_22_17,8_7_3,19,[13_29] (1_1),19,[13_29] (1_1),4515,[3660_5700],4525,[3660_5700],125,20,[15_20] (1_38),122,61.90,66.67,182,177
531,24,40,20,24,19,15,7,5_18_11,4_3_4,17,[9_30] (1_1),17,[9_30] (1_1),4590,[3155_6770],4399,[3155_6260],108,20,[12_20] (1_15),117,40.00,52.50,110,110
532,25,58,20,25,20,15,26,5_18_15,11_8_1,18,[9_29] (1_1),18,[9_26] (1_1),4436,[3645_5820],4429,[3645_5820],117,20,[20_20] (33_33),189,56.90,65.52,149,144
533,26,84,20,25,22,15,18,8_21_13,9_1_3,19,[12_25] (1_1),19,[12_25] (1_1),6032,[5260_7280],6052,[5260_7280],141,20,[8_20] (1_56),137,70.24,73.81,112,104
534,25,36,20,23,22,0,3,8_19_7,0_0_1,16,[13_20] (5_1),16,[13_20] (4_1),5215,[4370_6075],5176,[4370_5920],114,19,[13_20] (1_11),121,36.11,38.89,8,8
535,23,44,20,21,19,50,4,23_6_6,7_2_0,20,[12_37] (1_1),20,[12_31] (1_1),5842,[5045_6935],5795,[5045_6925],145,20,[20_20] (23_23),180,52.27,56.82,209,209
536,21,44,20,21,21,20,0,5_14_13,2_0_0,18,[11_25] (1_1),18,[11_25] (1_1),3731,[2955_4880],3731,[2955_4880],130,19,[2_20] (1_20),97,52.27,52.27,46,46
537,22,66,20,21,19,15,7,8_17_7,5_1_2,19,[12_25] (1_1),19,[12_25] (1_1),4285,[3665_5450],4289,[3665_5450],126,19,[9_20] (1_35),157,68.18,71.21,92,75
538,22,35,15,22,22,20,2,18_5_2,2_0_0,14,[12_20] (4_2),14,[12_20] (4_2),3372,[2870_3980],3372,[2870_3980],85,15,[14_15] (3_10),82,37.14,37.14,46,46
539,22,92,14,21,16,20,4,23_1_9,12_6_2,14,[10_21] (2_1),14,[10_17] (2_1),5346,[4800_6030],5345,[4800_6030],110,14,[13_14] (2_69),89,77.17,82.61,158,153
540,30,557,20,23,7,65,17,30_8_0,10_19_15,22,[11_27] (1_1),22,[18_25] (1_2),4612,[4090_5855],4643,[4090_5035],161,20,[0_30] (1_1),113,95.87,98.74,546,419
541,24,24,15,24,24,0,0,9_8_7,0,11,[9_15] (2_1),11,[9_15] (2_1),2594,[1750_3000],2594,[1750_3000],53,,,,,,0,0
542,23,32,20,22,22,25,10,4_17_14,9_0_0,20,[18_25] (4_2),20,[18_25] (4_2),3126,[2555_3705],3126,[2555_3705],110,20,[20_20] (10_10),98,31.25,31.25,90,90
543,26,151,20,25,22,50,4,7_31_2,12_4_0,22,[19_30] (4_1),22,[19_30] (3_1),2682,[2350_3600],2690,[2350_3600],95,19,[13_25] (1_1),89,83.44,85.43,221,187
544,25,60,15,24,21,20,4,7_14_9,9_2_3,14,[7_20] (1_1),15,[12_20] (1_1),3807,[3300_5205],3648,[3300_4505],101,14,[0_15] (1_32),92,60.00,65.00,119,119
545,24,51,25,24,17,15,1,4_17_12,10_2_5,23,[13_31] (1_1),23,[13_30] (1_1),4881,[4065_6680],4907,[4180_6680],132,25,[24_25] (1_26),150,52.94,66.67,141,141
546,24,50,20,24,20,15,0,0_14_10,4_4_2,19,[15_26] (1_1),19,[16_26] (2_1),2340,[1450_3265],2352,[1800_3265],102,19,[15_20] (2_22),102,52.00,60.00,100,100
547,24,107,20,23,15,15,8,3_14_7,7_5_11,17,[12_30] (1_1),17,[12_20] (1_2),4843,[3900_5925],5010,[3900_5925],121,18,[2_25] (3_3),111,78.50,85.98,236,197
548,23,67,20,22,18,35,3,9_12_14,3_6_1,20,[15_25] (1_2),20,[16_25] (1_1),3455,[3000_4555],3328,[3000_4350],121,20,[11_20] (1_41),108,67.16,73.13,137,137
549,23,68,20,21,18,45,6,9_12_5,13_3_0,22,[19_32] (7_1),22,[19_31] (5_1),5616,[5105_6580],5592,[5105_6580],113,19,[15_20] (1_37),99,69.12,73.53,207,207
550,22,207,20,20,19,90,0,6_18_12,25_0_1,24,[19_38] (1_1),25,[19_38] (1_1),2967,[2350_4800],2999,[2400_4800],132,20,[5_25] (1_1),104,90.34,90.82,376,355
551,22,149,18,21,15,50,4,7_18_16,21_9_1,20,[15_33] (1_1),20,[15_22] (1_2),4267,[3270_5770],4059,[3270_4675],155,18,[2_23] (2_1),118,85.91,89.93,310,284
552,22,69,17,20,18,45,21,7_15_10,15_2_0,19,[15_31] (2_1),19,[15_31] (2_1),4207,[3425_5930],4149,[3425_5930],151,16,[0_17] (1_41),103,71.01,73.91,230,230
553,20,41,20,20,16,25,29,8_16_15,7_3_1,19,[13_29] (1_1),19,[13_29] (1_1),4552,[3870_5635],4624,[3870_5635],151,20,[20_20] (21_21),159,51.22,60.98,119,119
554,20,87,15,20,18,25,0,3_12_5,15_1_1,16,[13_20] (1_2),16,[13_20] (1_2),2929,[2080_4710],2899,[2080_4710],96,15,[12_15] (1_63),83,77.01,79.31,140,135
555,22,105,25,19,14,50,5,30_6_0,12_4_3,27,[24_32] (4_1),27,[24_32] (2_1),3804,[3105_5210],3731,[3105_4605],154,25,[12_25] (1_80),118,81.90,86.67,210,210
556,22,44,18,22,20,25,20,11_18_10,7_1_2,17,[11_26] (1_1),17,[11_24] (1_1),5145,[4405_5905],5100,[4405_5905],114,18,[17_18] (1_21),117,50.00,54.55,118,113
557,22,53,20,22,16,10,41,10_15_17,12_5_3,19,[13_27] (1_1),19,[13_20] (1_3),5440,[4790_6720],5389,[4790_6650],147,20,[10_25] (1_1),128,58.49,69.81,145,136
558,22,44,20,21,18,30,4,6_16_13,4_3_2,20,[16_32] (2_1),20,[16_32] (2_1),5263,[4660_6205],5275,[4660_6205],137,20,[18_20] (1_20),122,52.27,59.09,140,140
559,22,26,20,22,20,5,0,4_20_6,5_5_0,17,[9_25] (1_1),17,[9_25] (1_1),4406,[3315_6110],4387,[3315_6110],102,20,[20_20] (4_4),137,15.38,23.08,67,67
560,23,48,20,23,17,45,21,11_24_9,22_4_7,21,[14_43] (1_1),21,[14_28] (1_1),5756,[5100_7665],5608,[5100_6455],161,20,[16_20] (1_24),144,52.08,64.58,356,356
561,24,61,20,24,18,5,1,8_17_11,8_8_1,18,[12_24] (1_1),18,[12_20] (1_4),4795,[4240_5700],4802,[4240_5700],131,19,[6_20] (1_29),122,60.66,70.49,110,110
562,28,74,20,27,24,15,19,10_17_8,12_3_1,19,[14_25] (1_3),19,[14_25] (1_3),3559,[2600_4650],3514,[2600_4500],117,19,[4_25] (1_2),104,63.51,67.57,139,116
563,28,90,20,25,18,30,28,31_11_0,13_7_5,20,[14_27] (1_3),20,[14_27] (1_2),5552,[4070_6780],5483,[4070_6780],154,19,[6_25] (1_1),139,72.22,80.00,253,226
564,26,106,20,24,17,25,2,7_29_12,6_5_9,20,[17_25] (1_3),20,[19_25] (7_2),4383,[4065_5100],4381,[4065_5100],146,20,[17_25] (1_1),140,77.36,83.96,192,183
565,25,46,17,23,16,15,5,7_22_13,10_10_4,16,[6_25] (1_1),16,[11_21] (2_1),5497,[4720_7580],5403,[4730_6210],139,17,[17_22] (22_1),127,50.00,65.22,205,178
566,25,91,20,24,18,20,6,6_18_13,6_5_12,19,[7_23] (1_1),19,[15_22] (2_1),4367,[3415_6900],4189,[3415_5030],136,20,[14_20] (1_59),112,73.63,80.22,199,199
567,24,49,20,24,21,5,8,19_15_8,6_3_2,18,[12_22] (1_1),18,[13_22] (2_1),4296,[3640_5330],4243,[3640_5330],132,20,[20_20] (25_25),129,51.02,57.14,81,76
568,25,39,15,24,22,15,3,5_6_3,16_2_3,13,[6_21] (1_1),13,[6_21] (1_1),2919,[1725_4525],2798,[1725_4275],107,16,[14_25] (1_1),117,38.46,43.59,211,156
